"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
drop_center,tblcenter,,text,"Site Exclusion date (DROP_CENTER_D)
<div style=""font-weight:lighter;font-style:italic"">Date that the site was dropped from IeDEA (if dropped)</div>",,,date_ymd,,,,,,,,,,
survey_internet,tblcenter,,dropdown,"SURVEY_INTERNET
<div style=""font-weight:lighter;font-style:italic"">Quality of Internet access for completing online surveys.</div>","1, sufficient   access to complete online surveys | 2, degraded access making online survey completion difficult | 3, no internet access | 9, Unknown",,,,,,,,,,,,
survey_paper,tblcenter,,dropdown,"SURVEY_PAPER
<div style=""font-weight:lighter;font-style:italic"">Resources for printing and transferring paper surveys to a central location for data entry</div>","1, site has resources to print and transfer surveys | 2, site has resources to print, but not to transfer surveys | 3, site does not have resources to print, but can transfer surveys | 4, site needs assistance in both printing and transferring surveys | 8, not applicable | 9, Unknown",,,,,,,,,,,,
supplemental_txt,tblcenter,,descriptive,"<div style=""color:white; text-align:center; border: 1px #3498db; background-color: #2980b9;""><h3 style=""margin:0px; padding:10px"">Supplemental Data (non-tblCENTER)</h3></div>",,,,,,,,,,,,,
notes,tblcenter,,notes,"Notes about this site",,,,,,,,,,,,,
nondes_website,tblcenter,"Map Information",text,"Site Website",,,,,,,,,,,,,
nondes_displayname,tblcenter,,text,"Site Display Name
<div style=""font-weight:lighter"">The site's name is set as <u>[name]</u>. If you want a different name to appear on the IeDEA public website/map, list it here.</div>",,,,,,,,,,,,,
nondes_hidemap,tblcenter,,checkbox,"Hide this Site on Map
<div style=""font-weight:lighter;"">Can be used to hide sites on the iedea.org public map. Sites with a DROP_CENTER date will be automatically hidden.</div>","1, Yes",,,,,,,,,,,,
nondes_excludesurvey,tblcenter,"Site Assessment Information",checkbox,"Exclude from Site Assessment","1, Yes",,,,,,,,,,,,
nondes_excludereason,tblcenter,,checkbox,"Why excluded?","1, No longer participating in IeDEA | 2, Interval cohort | 3, No direct contact with site | 4, Site declined participation | 99, Other",,,,,,"[nondes_excludesurvey(1)] = '1'",,,,,,
nondes_sa_notes,tblcenter,,notes,"Site Assessment Notes",,,,,,,,,,,,,
sa1_id,site_metadata,,text,"Site Assessment 1.0 ID
<div style=""font-weight:lighter;font-style:italic"">ID used in 2009 IeDEA site survey</div>",,,,,,,,,,,,," @HIDDEN-FORM"
sa2_id,site_metadata,,text,"Site Assessment 2.0 ID
<div style=""font-weight:lighter;font-style:italic"">ID used in 2014 IeDEA site survey</div>",,,,,,,,,,,,," @HIDDEN-FORM"
sa3_id,site_metadata,,text,"Site Assessment 3.0 ID
<div style=""font-weight:lighter;font-style:italic"">ID used in 2017 IeDEA site survey</div>",,,,,,,,,,,,,
